"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 16:33:07 BDT 2023","Thu Jul 13 16:33:11 BDT 2023","3363","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","logFilesBodyVerify","logFilesBodyVerify",""
"passed","Thu Jul 13 16:21:31 BDT 2023","Thu Jul 13 16:21:57 BDT 2023","26869","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerAllTemplateButtonTest","footerAllTemplateButtonTest",""
"passed","Thu Jul 13 16:33:02 BDT 2023","Thu Jul 13 16:33:05 BDT 2023","2660","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","informationTittleVerify","informationTittleVerify",""
"passed","Thu Jul 13 16:26:21 BDT 2023","Thu Jul 13 16:26:31 BDT 2023","9790","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageRecruiterPreferBodyVerify","landingPageRecruiterPreferBodyVerify",""
"passed","Thu Jul 13 16:23:13 BDT 2023","Thu Jul 13 16:23:23 BDT 2023","9976","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerNewsLetterSubcriptionValidInput","footerNewsLetterSubcriptionValidInput",""
"passed","Thu Jul 13 16:30:33 BDT 2023","Thu Jul 13 16:30:39 BDT 2023","5640","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","privacyPolicyTittleVerify","privacyPolicyTittleVerify",""
"passed","Thu Jul 13 16:33:19 BDT 2023","Thu Jul 13 16:33:22 BDT 2023","3241","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","overviewBodyTextPart3Verify","overviewBodyTextPart3Verify",""
"passed","Thu Jul 13 16:31:18 BDT 2023","Thu Jul 13 16:31:32 BDT 2023","14391","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog11TittleUrlVerify","vlog11TittleUrlVerify",""
"passed","Thu Jul 13 16:28:45 BDT 2023","Thu Jul 13 16:28:51 BDT 2023","5606","Suite","Test","testcases.AboutTestCases","testcases.AboutTestCases","aboutUsEasyToCreateResumeTittleVerify","aboutUsEasyToCreateResumeTittleVerify",""
"passed","Thu Jul 13 16:33:36 BDT 2023","Thu Jul 13 16:33:40 BDT 2023","4471","Suite","Test","testcases.LoginTestCases","testcases.LoginTestCases","loginButtonTestFromNav","loginButtonTestFromNav",""
"passed","Thu Jul 13 16:27:21 BDT 2023","Thu Jul 13 16:27:29 BDT 2023","8560","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageSimpleCvDownloadCvTextVerify","landingPageSimpleCvDownloadCvTextVerify",""
"passed","Thu Jul 13 16:30:26 BDT 2023","Thu Jul 13 16:30:31 BDT 2023","5160","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","miscellaneousTittleVerify","miscellaneousTittleVerify",""
"passed","Thu Jul 13 16:30:40 BDT 2023","Thu Jul 13 16:30:46 BDT 2023","5729","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","siteManangementTittleVerify","siteManangementTittleVerify",""
"passed","Thu Jul 13 16:37:59 BDT 2023","Thu Jul 13 16:38:07 BDT 2023","7238","Suite","Test","testcases.RegisterTestCases","testcases.RegisterTestCases","registerInvalidDataVerify","registerInvalidDataVerify",""
"passed","Thu Jul 13 16:22:52 BDT 2023","Thu Jul 13 16:23:12 BDT 2023","19145","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerNewsLetterSubcriptionExistingUser","footerNewsLetterSubcriptionExistingUser",""
"passed","Thu Jul 13 16:30:42 BDT 2023","Thu Jul 13 16:30:48 BDT 2023","5112","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","submissionTittleVerify","submissionTittleVerify",""
"passed","Thu Jul 13 16:25:55 BDT 2023","Thu Jul 13 16:26:01 BDT 2023","5829","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageHiringManagerTittleVerify","landingPageHiringManagerTittleVerify",""
"passed","Thu Jul 13 16:29:26 BDT 2023","Thu Jul 13 16:29:33 BDT 2023","6382","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","agreementTittleVerify","agreementTittleVerify",""
"passed","Thu Jul 13 16:31:35 BDT 2023","Thu Jul 13 16:31:44 BDT 2023","9020","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog2TittleUrlVerify","vlog2TittleUrlVerify",""
"passed","Thu Jul 13 16:33:09 BDT 2023","Thu Jul 13 16:33:11 BDT 2023","2401","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","logFilesTittleVerify","logFilesTittleVerify",""
"passed","Thu Jul 13 16:25:09 BDT 2023","Thu Jul 13 16:25:16 BDT 2023","7102","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQFourQuestionTittleVerify","landingPageFAQFourQuestionTittleVerify",""
"passed","Thu Jul 13 16:23:41 BDT 2023","Thu Jul 13 16:23:56 BDT 2023","14885","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerTermsConditionButtonTest","footerTermsConditionButtonTest",""
"passed","Thu Jul 13 16:22:00 BDT 2023","Thu Jul 13 16:22:30 BDT 2023","30720","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerCreateResumeButtonTest","footerCreateResumeButtonTest",""
"passed","Thu Jul 13 16:39:57 BDT 2023","Thu Jul 13 16:40:06 BDT 2023","9376","Suite","Test","testcases.TemplatesTestCases","testcases.TemplatesTestCases","templatePageScroll","templatePageScroll",""
"passed","Thu Jul 13 16:29:07 BDT 2023","Thu Jul 13 16:29:15 BDT 2023","8173","Suite","Test","testcases.AboutTestCases","testcases.AboutTestCases","aboutUsWhyChooseSiteBodyVerify","aboutUsWhyChooseSiteBodyVerify",""
"passed","Thu Jul 13 16:23:21 BDT 2023","Thu Jul 13 16:23:40 BDT 2023","18596","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerNewsLetterTextVerify","footerNewsLetterTextVerify",""
"passed","Thu Jul 13 16:38:37 BDT 2023","Thu Jul 13 16:38:51 BDT 2023","13787","Suite","Test","testcases.RegisterTestCases","testcases.RegisterTestCases","registerWithExistingUserMail","registerWithExistingUserMail",""
"passed","Thu Jul 13 16:26:14 BDT 2023","Thu Jul 13 16:26:17 BDT 2023","3796","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageNavLogoButtonTest","landingPageNavLogoButtonTest",""
"passed","Thu Jul 13 16:30:00 BDT 2023","Thu Jul 13 16:30:06 BDT 2023","5614","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","disputeResolutionTittleVerify","disputeResolutionTittleVerify",""
"passed","Thu Jul 13 16:30:50 BDT 2023","Thu Jul 13 16:30:57 BDT 2023","6625","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","topButtonTest","topButtonTest",""
"passed","Thu Jul 13 16:22:43 BDT 2023","Thu Jul 13 16:22:53 BDT 2023","9590","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerNewsLetterSubcriptionButtonVerify","footerNewsLetterSubcriptionButtonVerify",""
"passed","Thu Jul 13 16:33:31 BDT 2023","Thu Jul 13 16:33:33 BDT 2023","2363","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","useYourinformationTittleVerify","useYourinformationTittleVerify",""
"passed","Thu Jul 13 16:24:01 BDT 2023","Thu Jul 13 16:24:19 BDT 2023","18454","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageContentSuggestionBodyVerify","landingPageContentSuggestionBodyVerify",""
"passed","Thu Jul 13 16:34:06 BDT 2023","Thu Jul 13 16:34:13 BDT 2023","7141","Suite","Test","testcases.LoginTestCases","testcases.LoginTestCases","loginPageCreateAccountButtonTest","loginPageCreateAccountButtonTest",""
"passed","Thu Jul 13 16:30:18 BDT 2023","Thu Jul 13 16:30:23 BDT 2023","5089","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","limitationofLiabilityTittleVerify","limitationofLiabilityTittleVerify",""
"passed","Thu Jul 13 16:24:34 BDT 2023","Thu Jul 13 16:24:47 BDT 2023","13373","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQFirstQuestionAnswerVerify","landingPageFAQFirstQuestionAnswerVerify",""
"passed","Thu Jul 13 16:26:39 BDT 2023","Thu Jul 13 16:26:51 BDT 2023","11944","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageRecruiterPreferCvTemplateVerify","landingPageRecruiterPreferCvTemplateVerify",""
"passed","Thu Jul 13 16:33:21 BDT 2023","Thu Jul 13 16:33:24 BDT 2023","3121","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","thirthPartyTittleVerify","thirthPartyTittleVerify",""
"passed","Thu Jul 13 16:26:06 BDT 2023","Thu Jul 13 16:26:12 BDT 2023","6008","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageNavHomeButtonTest","landingPageNavHomeButtonTest",""
"passed","Thu Jul 13 16:31:53 BDT 2023","Thu Jul 13 16:32:04 BDT 2023","11620","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog5TittleUrlVerify","vlog5TittleUrlVerify",""
"passed","Thu Jul 13 16:26:03 BDT 2023","Thu Jul 13 16:26:07 BDT 2023","4639","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageNavCartButtonTest","landingPageNavCartButtonTest",""
"passed","Thu Jul 13 16:24:58 BDT 2023","Thu Jul 13 16:25:05 BDT 2023","6337","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQFiveQuestionTittleVerify","landingPageFAQFiveQuestionTittleVerify",""
"passed","Thu Jul 13 16:39:37 BDT 2023","Thu Jul 13 16:39:50 BDT 2023","13062","Suite","Test","testcases.TemplatesTestCases","testcases.TemplatesTestCases","searchUsingWhiteSpace","searchUsingWhiteSpace",""
"passed","Thu Jul 13 16:32:58 BDT 2023","Thu Jul 13 16:33:00 BDT 2023","2750","Suite","Test","testcases.PrivacyPoliceTestCases","testcases.PrivacyPoliceTestCases","contenttittletextVerify","contenttittletextVerify",""
"passed","Thu Jul 13 16:29:56 BDT 2023","Thu Jul 13 16:30:02 BDT 2023","6540","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","disclaimerTittleVerify","disclaimerTittleVerify",""
"passed","Thu Jul 13 16:21:34 BDT 2023","Thu Jul 13 16:21:44 BDT 2023","9545","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerBlogsButtonTest","footerBlogsButtonTest",""
"passed","Thu Jul 13 16:30:15 BDT 2023","Thu Jul 13 16:30:23 BDT 2023","7559","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","intellectualPropertyTittleVerify","intellectualPropertyTittleVerify",""
"passed","Thu Jul 13 16:34:50 BDT 2023","Thu Jul 13 16:35:05 BDT 2023","14832","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageQuest10QuestAnswerVerify","faqPageQuest10QuestAnswerVerify",""
"passed","Thu Jul 13 16:33:51 BDT 2023","Thu Jul 13 16:34:02 BDT 2023","10476","Suite","Test","testcases.LoginTestCases","testcases.LoginTestCases","loginPageBackButtonTestFromPasswordPage","loginPageBackButtonTestFromPasswordPage",""
"passed","Thu Jul 13 16:29:45 BDT 2023","Thu Jul 13 16:29:53 BDT 2023","8709","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","copyrightInfringmentsTittleVerify","copyrightInfringmentsTittleVerify",""
"passed","Thu Jul 13 16:25:42 BDT 2023","Thu Jul 13 16:25:55 BDT 2023","12594","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQTittleVerify","landingPageFAQTittleVerify",""
